

State Name,Geoname Code,LGA Name,Alternative Name,LGA Geoname Code
Abia,2357028,Aba North,,7871591
Abia,2357028,Aba South,,7871590
Abia,2357028,Arochukwu,,7871589
Abia,2357028,Bende,,7871588
Abia,2357028,Ikwuano,,7871587
Abia,2357028,Isiala Ngwa North,,7871586
Abia,2357028,Isiala Ngwa South,,7871585
Abia,2357028,Isuikwuato,,7871584
Abia,2357028,Obi Ngwa,,7871583
Abia,2357028,Ohafia,,7871582
Abia,2357028,Osisioma Ngwa,,7871581
Abia,2357028,Ugwunagbo,,7871580
Abia,2357028,Ukwa East,,7871579
Abia,2357028,Ukwa West,,7871578
Abia,2357028,Umuahia North,,7871577
Abia,2357028,Umuahia South,,7871576
Abia,2357028,Umu Nneochi,,7871575

State Name,Geoname Code,LGA Name,Alternative Name,LGA Geoname Code
Akwa Ibom,2324857,Abak,,7871574
Akwa Ibom,2324857,Eastern Obolo,,7871573
Akwa Ibom,2324857,Eket,,7871572
Akwa Ibom,2324857,Esit Eket,,7871571
Akwa Ibom,2324857,Essien Udim,,7871570
Akwa Ibom,2324857,Etim Ekpo,,7871569
Akwa Ibom,2324857,Etinan,,7871568
Akwa Ibom,2324857,Ibeno,,7871567
Akwa Ibom,2324857,Ibesikpo Asutan,,7871566
Akwa Ibom,2324857,Ibiono-Ibom,,7871565
Akwa Ibom,2324857,Ika,,7871564
Akwa Ibom,2324857,Ikono,,7871563
Akwa Ibom,2324857,Ikot Abasi,,7871562
Akwa Ibom,2324857,Ikot Ekpene,,7871561
Akwa Ibom,2324857,Ini,,7871560
Akwa Ibom,2324857,Itu,,7871559
Akwa Ibom,2324857,Mbo,,7871558
Akwa Ibom,2324857,Mkpat-Enin,,7871557
Akwa Ibom,2324857,Nsit-Atai,,7871556
Akwa Ibom,2324857,Nsit-Ibom,,7871555
Akwa Ibom,2324857,Nsit-Ubium,,7871554
Akwa Ibom,2324857,Obot Akara,,7871553
Akwa Ibom,2324857,Okobo,,7871552
Akwa Ibom,2324857,Onna,,7871551
Akwa Ibom,2324857,Oron,,7871550
Akwa Ibom,2324857,Oruk Anam,,7871549
Akwa Ibom,2324857,Udung-Uko,,7871548
Akwa Ibom,2324857,Ukanafun,,7871547
Akwa Ibom,2324857,Urue-Offong/Oruko,,7871546
Akwa Ibom,2324857,Uruan,,7871545
Akwa Ibom,2324857,Uru Offong Oruko,,7871544
Akwa Ibom,2324857,Uyo,,7871543

State Name,Geoname Code,LGA Name,Alternative Name,LGA Geoname Code
Anambra,2347059,Anambra East,,7871542
Anambra,2347059,Anambra West,,7871541
Anambra,2347059,Anaocha,,7871540
Anambra,2347059,Awka North,,7871539
Anambra,2347059,Awka South,,7871538
Anambra,2347059,Ayamelum,,7871537
Anambra,2347059,Dunukofia,,7871536
Anambra,2347059,Ekwusigo,,7871535
Anambra,2347059,Idemili North,,7871534
Anambra,2347059,Idemili South,,7871533
Anambra,2347059,Ihiala,,7871532
Anambra,2347059,Njikoka,,7871531
Anambra,2347059,Nnewi North,,7871530
Anambra,2347059,Nnewi South,,7871529
Anambra,2347059,Ogbaru,,7871528
Anambra,2347059,Onitsha North,,7871527
Anambra,2347059,Onitsha South,,7871526
Anambra,2347059,Orumba North,,7871525
Anambra,2347059,Orumba South,,7871524
Anambra,2347059,Oyi,,7871523

State Name,Geoname Code,LGA Name,Alternative Name,LGA Geoname Code
Bauchi,2347015,Alkaleri,,7871522
Bauchi,2347015,Bauchi,,7871521
Bauchi,2347015,Bogoro,,7871520
Bauchi,2347015,Damban,,7871519
Bauchi,2347015,Darazo,,7871518
Bauchi,2347015,Dass,,7871517
Bauchi,2347015,Gamawa,,7871516
Bauchi,2347015,Ganjuwa,,7871515
Bauchi,2347015,Giade,,7871514
Bauchi,2347015,Itas/Gadau,,7871513
Bauchi,2347015,Jama'are,,7871512
Bauchi,2347015,Katagum,,7871511
Bauchi,2347015,Kirfi,,7871510
Bauchi,2347015,Misau,,7871509
Bauchi,2347015,Ningi,,7871508
Bauchi,2347015,Shira,,7871507
Bauchi,2347015,Tafawa Balewa,,7871506
Bauchi,2347015,Toro,,7871505
Bauchi,2347015,Warji,,7871504
Bauchi,2347015,Zaki,,7871503

Bayelsa,2347054,Brass,,7871502
Bayelsa,2347054,Ekeremor,,7871501
Bayelsa,2347054,Kolokuma/Opokuma,,7871500
Bayelsa,2347054,Nembe,,7871499
Bayelsa,2347054,Ogbia,,7871498
Bayelsa,2347054,Sagbama,,7871497
Bayelsa,2347054,Southern Ijaw,,7871496
Bayelsa,2347054,Yenagoa,,7871495

State Name,Geoname Code,LGA Name,Alternative Name,LGA Geoname Code
Benue,2347062,Ado,,7871494
Benue,2347062,Agatu,,7871493
Benue,2347062,Apa,,7871492
Benue,2347062,Buruku,,7871491
Benue,2347062,Gboko,,7871490
Benue,2347062,Guma,,7871489
Benue,2347062,Gwer East,,7871488
Benue,2347062,Gwer West,,7871487
Benue,2347062,Katsina-Ala,,7871486
Benue,2347062,Konshisha,,7871485
Benue,2347062,Kwande,,7871484
